lng,lat,val
139.7615,35.666,400
139.762,35.666,410
139.7625,35.666,420
139.763,35.666,430
139.7635,35.666,440
139.764,35.666,450
139.7645,35.666,460
139.765,35.666,470
139.7655,35.666,480
139.766,35.666,490
139.7665,35.666,500
139.767,35.666,490
139.7675,35.666,480
139.768,35.666,470
139.7685,35.666,460
139.769,35.666,450
139.7695,35.666,440
139.77,35.666,430
139.7705,35.666,420
139.771,35.666,410
139.7715,35.666,400
139.7615,35.6665,410
139.762,35.6665,419
139.7625,35.6665,428
139.763,35.6665,437
139.7635,35.6665,446
139.764,35.6665,455
139.7645,35.6665,464
139.765,35.6665,473
139.7655,35.6665,482
139.766,35.6665,491
139.7665,35.6665,500
139.767,35.6665,491
139.7675,35.6665,482
139.768,35.6665,473
139.7685,35.6665,464
139.769,35.6665,455
139.7695,35.6665,446
139.77,35.6665,437
139.7705,35.6665,428
139.771,35.6665,419
139.7715,35.6665,410
139.7615,35.667,420
139.762,35.667,428
139.7625,35.667,436
139.763,35.667,444
139.7635,35.667,452
139.764,35.667,460
139.7645,35.667,468
139.765,35.667,476
139.7655,35.667,484
139.766,35.667,492
139.7665,35.667,500
139.767,35.667,492
139.7675,35.667,484
139.768,35.667,476
139.7685,35.667,468
139.769,35.667,460
139.7695,35.667,452
139.77,35.667,444
139.7705,35.667,436
139.771,35.667,428
139.7715,35.667,420
139.7615,35.6675,430
139.762,35.6675,437
139.7625,35.6675,444
139.763,35.6675,451
139.7635,35.6675,458
139.764,35.6675,465
139.7645,35.6675,472
139.765,35.6675,479
139.7655,35.6675,486
139.766,35.6675,493
139.7665,35.6675,500
139.767,35.6675,493
139.7675,35.6675,486
139.768,35.6675,479
139.7685,35.6675,472
139.769,35.6675,465
139.7695,35.6675,458
139.77,35.6675,451
139.7705,35.6675,444
139.771,35.6675,437
139.7715,35.6675,430
139.7615,35.668,440
139.762,35.668,446
139.7625,35.668,452
139.763,35.668,458
139.7635,35.668,464
139.764,35.668,470
139.7645,35.668,476
139.765,35.668,482
139.7655,35.668,488
139.766,35.668,494
139.7665,35.668,500
139.767,35.668,494
139.7675,35.668,488
139.768,35.668,482
139.7685,35.668,476
139.769,35.668,470
139.7695,35.668,464
139.77,35.668,458
139.7705,35.668,452
139.771,35.668,446
139.7715,35.668,440
139.7615,35.6685,450
139.762,35.6685,455
139.7625,35.6685,460
139.763,35.6685,465
139.7635,35.6685,470
139.764,35.6685,475
139.7645,35.6685,480
